Video Name,BR,PSNR,SSIM,VMAF,STRRED,SpeedQA,MosRaw Scores,Mos_After Outlier Detection
FIFA17_30fps_30sec_Part2_1280x720_2000_x264.yuv,2000,32.050423,0.954571,66.366454,16.25391788,47.11752677,3.6,3.6
FIFA17_30fps_30sec_Part2_1280x720_4000_x264.yuv,4000,33.23341,0.965325,76.415682,5.522712327,14.48611294,4.12,4.12
FIFA17_30fps_30sec_Part2_1280x720_500_x264.yuv,500,28.860222,0.903226,33.856373,139.2158321,499.2893329,1.72,1.72
FIFA17_30fps_30sec_Part2_1280x720_600_x264.yuv,600,29.641371,0.918622,41.265159,91.43748795,315.9528441,2.12,2
FIFA17_30fps_30sec_Part2_1920x1080_1200_x264.yuv,1200,31.311489,0.940549,60.718252,55.72323284,173.5314787,2.44,2.44
FIFA17_30fps_30sec_Part2_1920x1080_2000_x264.yuv,2000,32.279305,0.954238,69.602385,34.2478369,101.8233946,3.36,3.36
FIFA17_30fps_30sec_Part2_1920x1080_4000_x264.yuv,4000,34.625164,0.970861,83.167228,13.43107653,38.6525797,4.2,4.43
FIFA17_30fps_30sec_Part2_1920x1080_600_x264.yuv,600,28.569206,0.879734,36.757658,178.7093795,617.1211162,1.28,1.28
FIFA17_30fps_30sec_Part2_1920x1080_750_x264.yuv,750,28.901613,0.894083,40.510949,153.1718417,508.9563178,1.96,2
FIFA17_30fps_30sec_Part2_640x480_1200_x264.yuv,1200,29.686502,0.931089,49.196094,17.12330733,51.97294202,2.92,3
FIFA17_30fps_30sec_Part2_640x480_2000_x264.yuv,2000,30.011511,0.937415,55.03818,8.33295094,23.69705917,2.76,2.76
FIFA17_30fps_30sec_Part2_640x480_300_x264.yuv,300,28.051239,0.892382,24.17729,131.1119176,492.0539725,1.68,1.68
FIFA17_30fps_30sec_Part2_640x480_4000_x264.yuv,4000,30.251951,0.942123,59.110737,3.636796538,9.5369487,3.04,3
FIFA17_30fps_30sec_Part2_640x480_600_x264.yuv,600,29.046738,0.917187,38.133477,46.4973217,152.6426377,2.16,2.16
H1Z1_30fps_30sec_Part2_1280x720_1200_x264.yuv,1200,33.222454,0.948668,52.928428,78.11608072,168.6584438,2.44,2.44
H1Z1_30fps_30sec_Part2_1280x720_2000_x264.yuv,2000,33.970917,0.958568,61.156575,38.22528452,76.01971404,3.28,3.28
H1Z1_30fps_30sec_Part2_1280x720_4000_x264.yuv,4000,34.770695,0.968103,69.992547,13.73352963,25.77605776,3.52,3.52
H1Z1_30fps_30sec_Part2_1280x720_500_x264.yuv,500,31.26256,0.917017,34.570539,247.9492306,657.272039,1.56,1.56
H1Z1_30fps_30sec_Part2_1280x720_600_x264.yuv,600,31.933867,0.928958,40.167659,175.0203458,437.0756628,1.56,1.56
H1Z1_30fps_30sec_Part2_1920x1080_1200_x264.yuv,1200,34.25243,0.941614,59.639222,118.826741,250.8694352,1.92,1.83
H1Z1_30fps_30sec_Part2_1920x1080_2000_x264.yuv,2000,35.707874,0.954396,67.969031,75.03279122,141.5061167,2.52,2.52
H1Z1_30fps_30sec_Part2_1920x1080_4000_x264.yuv,4000,38.127609,0.969977,80.501299,28.73151807,50.28285305,3.52,3.52
H1Z1_30fps_30sec_Part2_1920x1080_600_x264.yuv,600,31.313093,0.900455,40.81631,320.726097,854.0478567,1.28,1
H1Z1_30fps_30sec_Part2_1920x1080_750_x264.yuv,750,31.588957,0.904223,42.472651,321.6662882,813.3600756,1.12,1
H1Z1_30fps_30sec_Part2_640x480_1200_x264.yuv,1200,31.189053,0.944833,42.443879,36.42950115,75.17115584,2.64,2.58
H1Z1_30fps_30sec_Part2_640x480_2000_x264.yuv,2000,31.448198,0.950326,47.85577,18.11117596,34.83215146,2.92,3
H1Z1_30fps_30sec_Part2_640x480_300_x264.yuv,300,29.877272,0.914265,21.719015,242.0369542,681.4414648,1.32,1.32
H1Z1_30fps_30sec_Part2_640x480_4000_x264.yuv,4000,31.694803,0.955361,53.013761,7.167652395,13.66488234,3,3
H1Z1_30fps_30sec_Part2_640x480_600_x264.yuv,600,30.687958,0.933587,33.064096,97.35762937,229.0873253,2.2,2.2
Hearthstone_30fps_30sec_Part1_1280x720_1200_x264.yuv,1200,34.324791,0.989647,73.591755,2.46043626,5.682779506,3.52,3.52
Hearthstone_30fps_30sec_Part1_1280x720_2000_x264.yuv,2000,34.916058,0.991119,77.187011,0.954764508,2.154222251,3.8,3.8
Hearthstone_30fps_30sec_Part1_1280x720_4000_x264.yuv,4000,35.275486,0.991906,79.04552,0.293644054,0.701813907,3.76,3.76
Hearthstone_30fps_30sec_Part1_1280x720_500_x264.yuv,500,32.154903,0.982079,57.725791,14.13719882,32.47176206,3.08,3
Hearthstone_30fps_30sec_Part1_1280x720_600_x264.yuv,600,32.895798,0.984949,63.394035,8.902804348,19.97734368,3.32,3.32
Hearthstone_30fps_30sec_Part1_1920x1080_1200_x264.yuv,1200,37.936626,0.994765,85.090491,3.666236065,8.670529257,4.12,4.21
Hearthstone_30fps_30sec_Part1_1920x1080_2000_x264.yuv,2000,40.938511,0.99734,91.082858,1.653500823,3.778212335,4.32,4.32
Hearthstone_30fps_30sec_Part1_1920x1080_4000_x264.yuv,4000,45.467636,0.99901,95.306148,0.492390018,1.195263681,4.72,4.72
Hearthstone_30fps_30sec_Part1_1920x1080_600_x264.yuv,600,33.514687,0.985865,67.023525,14.5523024,33.55928085,3.36,3.36
Hearthstone_30fps_30sec_Part1_1920x1080_750_x264.yuv,750,34.719933,0.989422,73.632861,9.997575801,23.23059689,3.72,3.72
Hearthstone_30fps_30sec_Part1_640x480_1200_x264.yuv,1200,30.728794,0.976563,56.275819,1.378960425,3.071850856,2.48,2.48
Hearthstone_30fps_30sec_Part1_640x480_2000_x264.yuv,2000,30.816755,0.977065,57.613602,0.630163558,1.455607093,2.36,2.36
Hearthstone_30fps_30sec_Part1_640x480_300_x264.yuv,300,29.556124,0.968389,39.42804,20.20368398,44.66253647,2.08,2.08
Hearthstone_30fps_30sec_Part1_640x480_4000_x264.yuv,4000,30.854893,0.97728,58.203418,0.299982463,0.665048491,2.44,2.44
Hearthstone_30fps_30sec_Part1_640x480_600_x264.yuv,600,30.405249,0.97453,51.239833,4.967677166,10.60542617,2.32,2.32
LoL_30fps_30sec_Part2_1280x720_1200_x264.yuv,1200,32.501335,0.966079,55.371058,20.42444926,72.78778321,3.4,3.4
LoL_30fps_30sec_Part2_1280x720_2000_x264.yuv,2000,33.19627,0.972301,64.840668,7.437469385,25.41720865,3.84,4
LoL_30fps_30sec_Part2_1280x720_4000_x264.yuv,4000,33.758728,0.976716,72.274125,1.973228427,6.322143027,4,4
LoL_30fps_30sec_Part2_1280x720_500_x264.yuv,500,30.613081,0.944604,32.675995,106.3471041,431.2053955,2.04,2
LoL_30fps_30sec_Part2_1280x720_600_x264.yuv,600,31.179106,0.951698,38.861465,70.48950751,273.6220644,2.52,2.52
LoL_30fps_30sec_Part2_1920x1080_1200_x264.yuv,1200,35.003838,0.97583,64.244731,37.56165531,129.215856,3.16,3.29
LoL_30fps_30sec_Part2_1920x1080_2000_x264.yuv,2000,37.049431,0.984464,75.312846,17.68581026,58.55249329,4.08,4.1
LoL_30fps_30sec_Part2_1920x1080_4000_x264.yuv,4000,40.454529,0.992632,87.928245,4.520993228,14.69874751,4.48,4.48
LoL_30fps_30sec_Part2_1920x1080_600_x264.yuv,600,31.372942,0.947635,40.234083,144.1641093,538.0822103,1.56,1.56
LoL_30fps_30sec_Part2_1920x1080_750_x264.yuv,750,32.045517,0.954537,44.795173,120.6316889,436.8940572,2,1.9
LoL_30fps_30sec_Part2_640x480_1200_x264.yuv,1200,30.289093,0.949083,44.956979,8.787957867,29.71141513,2.72,2.62
LoL_30fps_30sec_Part2_640x480_2000_x264.yuv,2000,30.473694,0.951994,50.047669,3.642555858,11.63198813,2.92,2.92
LoL_30fps_30sec_Part2_640x480_300_x264.yuv,300,29.06946,0.927413,20.290698,99.08301563,416.8623995,1.72,1.72
LoL_30fps_30sec_Part2_640x480_4000_x264.yuv,4000,30.598061,0.953914,53.509145,1.293791813,3.984500084,2.84,2.84
LoL_30fps_30sec_Part2_640x480_600_x264.yuv,600,29.841967,0.941645,34.059025,29.52575904,110.6970612,2.52,2.52
ProjectCar_30FPS_30Sec_Part2_1280x720_1200_x264.yuv,1200,32.674522,0.976223,60.00396,39.56511352,108.8658854,3.28,3.28
ProjectCar_30FPS_30Sec_Part2_1280x720_2000_x264.yuv,2000,33.760235,0.982395,68.91132,16.91697171,45.53933027,3.72,3.72
ProjectCar_30FPS_30Sec_Part2_1280x720_4000_x264.yuv,4000,34.770641,0.9871,76.878939,5.436318969,13.93386551,4.16,4
ProjectCar_30FPS_30Sec_Part2_1280x720_500_x264.yuv,500,30.165571,0.956012,40.517756,171.2473412,483.4194806,2.16,2.16
ProjectCar_30FPS_30Sec_Part2_1280x720_600_x264.yuv,600,30.879713,0.962588,45.755647,119.5981028,334.7887019,2.36,2.36
ProjectCar_30FPS_30Sec_Part2_1920x1080_1200_x264.yuv,1200,33.223221,0.974168,65.582734,63.97523539,162.8362975,2.72,2.72
ProjectCar_30FPS_30Sec_Part2_1920x1080_2000_x264.yuv,2000,35.099922,0.983126,75.925444,29.56005375,78.43992567,3.44,3.44
ProjectCar_30FPS_30Sec_Part2_1920x1080_4000_x264.yuv,4000,38.211376,0.991333,87.87938,9.850677012,26.22819638,4.16,4.16
ProjectCar_30FPS_30Sec_Part2_1920x1080_600_x264.yuv,600,30.088646,0.947817,46.932832,208.394732,551.925386,1.52,1.52
ProjectCar_30FPS_30Sec_Part2_1920x1080_750_x264.yuv,750,30.668333,0.95584,50.537305,167.3027977,439.6120069,1.96,1.96
ProjectCar_30FPS_30Sec_Part2_640x480_1200_x264.yuv,1200,30.894093,0.969583,49.484594,21.03732076,58.32972918,3.16,3.16
ProjectCar_30FPS_30Sec_Part2_640x480_2000_x264.yuv,2000,31.254467,0.972856,55.05167,9.356434789,24.94669832,3.52,3.52
ProjectCar_30FPS_30Sec_Part2_640x480_300_x264.yuv,300,28.929693,0.947626,26.815768,182.7277861,556.1929027,2.04,2
ProjectCar_30FPS_30Sec_Part2_640x480_4000_x264.yuv,4000,31.528845,0.975203,59.588496,3.204852026,8.15406443,3.52,3.52
ProjectCar_30FPS_30Sec_Part2_640x480_600_x264.yuv,600,30.113398,0.961797,39.197888,62.97074937,181.2633348,2.76,2.76
